Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,12:30,Matchweek 1,Sat,Away,D,3,3,Watford,3.1,2.1,54,20407,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2017-08-19,15:00,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,2.4,0.6,71,53138,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2017-08-27,16:00,Matchweek 3,Sun,Home,W,4,0,Arsenal,3,0.7,49,53206,Jordan Henderson,4-3-2003,Craig Pawson,Match Report,
2017-09-09,12:30,Matchweek 4,Sat,Away,L,0,5,Manchester City,0.7,2.7,35,54172,Jordan Henderson,4-3-2003,Jonathan Moss,Match Report,
2017-09-16,15:00,Matchweek 5,Sat,Home,D,1,1,Burnley,2.1,0.6,72,53231,James Milner,4-3-2003,Roger East,Match Report,
2017-09-23,17:30,Matchweek 6,Sat,Away,W,3,2,Leicester City,1.9,3,54,32004,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2017-10-01,16:30,Matchweek 7,Sun,Away,D,1,1,Newcastle Utd,1.7,0.7,68,52303,Jordan Henderson,4-3-2003,Craig Pawson,Match Report,
2017-10-14,12:30,Matchweek 8,Sat,Home,D,0,0,Manchester Utd,1.6,0.3,62,52912,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2017-10-22,16:00,Matchweek 9,Sun,Away,L,1,4,Tottenham,0.6,1.8,63,80827,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2017-10-28,15:00,Matchweek 10,Sat,Home,W,3,0,Huddersfield,2.4,0,72,53268,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2017-11-04,17:30,Matchweek 11,Sat,Away,W,4,1,West Ham,2,1.2,52,56961,Simon Mignolet,4-4-2002,Niel Swarbrick,Match Report,
2017-11-18,15:00,Matchweek 12,Sat,Home,W,3,0,Southampton,2,0.5,61,53256,Jordan Henderson,4-3-2003,Mike Jones,Match Report,
2017-11-25,17:30,Matchweek 13,Sat,Home,D,1,1,Chelsea,1.2,0.6,54,53225,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2017-11-29,20:00,Matchweek 14,Wed,Away,W,3,0,Stoke City,1.9,0.6,59,29423,Simon Mignolet,4-2-3-1,Martin Atkinson,Match Report,
2017-12-02,15:00,Matchweek 15,Sat,Away,W,5,1,Brighton,1.6,1.7,57,30634,Jordan Henderson,3-5-1-1,Graham Scott,Match Report,
2017-12-10,14:15,Matchweek 16,Sun,Home,D,1,1,Everton,1.4,0.8,79,53082,Jordan Henderson,4-3-2003,Craig Pawson,Match Report,
2017-12-13,20:00,Matchweek 17,Wed,Home,D,0,0,West Brom,1.5,0.3,69,53243,Philippe Coutinho,4-4-2002,Paul Tierney,Match Report,
2017-12-17,16:30,Matchweek 18,Sun,Away,W,4,0,Bournemouth,2.2,0.8,56,10780,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2017-12-22,19:45,Matchweek 19,Fri,Away,D,3,3,Arsenal,2.1,1.1,46,59409,Jordan Henderson,4-2-3-1,Martin Atkinson,Match Report,
2017-12-26,17:30,Matchweek 20,Tue,Home,W,5,0,Swansea City,3.3,0.3,55,52850,Philippe Coutinho,4-3-2003,Kevin Friend,Match Report,
2017-12-30,15:00,Matchweek 21,Sat,Home,W,2,1,Leicester City,2.8,0.9,61,53226,James Milner,4-3-2003,Niel Swarbrick,Match Report,
2018-01-01,15:00,Matchweek 22,Mon,Away,W,2,1,Burnley,1.6,1.3,57,21756,Simon Mignolet,4-2-3-1,Roger East,Match Report,
2018-01-14,16:00,Matchweek 23,Sun,Home,W,4,3,Manchester City,1,1,36,53285,Dejan Lovren,4-3-2003,Andre Marriner,Match Report,
2018-01-22,20:00,Matchweek 24,Mon,Away,L,0,1,Swansea City,2.1,0.3,71,20886,Emre Can,4-2-3-1,Niel Swarbrick,Match Report,
2018-01-30,20:00,Matchweek 25,Tue,Away,W,3,0,Huddersfield,1.8,0.4,74,24121,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2018-02-04,16:30,Matchweek 26,Sun,Home,D,2,2,Tottenham,1.1,2.2,34,53213,Jordan Henderson,4-3-2003,Jonathan Moss,Match Report,
2018-02-11,16:30,Matchweek 27,Sun,Away,W,2,0,Southampton,2.6,0.5,47,31915,Emre Can,4-3-2003,Martin Atkinson,Match Report,
2018-02-24,15:00,Matchweek 28,Sat,Home,W,4,1,West Ham,4,0.3,67,53256,James Milner,4-3-2003,Stuart Attwell,Match Report,
2018-03-03,17:30,Matchweek 29,Sat,Home,W,2,0,Newcastle Utd,1.3,0.3,71,53287,Jordan Henderson,4-3-2003,Graham Scott,Match Report,
2018-03-10,12:30,Matchweek 30,Sat,Away,L,1,2,Manchester Utd,0.8,0.7,67,74855,James Milner,4-3-2003,Craig Pawson,Match Report,
2018-03-17,17:30,Matchweek 31,Sat,Home,W,5,0,Watford,2.5,0.2,57,53287,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2018-03-31,12:30,Matchweek 32,Sat,Away,W,2,1,Crystal Palace,1.5,1.7,68,25807,Jordan Henderson,4-3-2003,Niel Swarbrick,Match Report,
2018-04-07,12:30,Matchweek 33,Sat,Away,D,0,0,Everton,0.9,0.5,63,39220,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2018-04-14,17:30,Matchweek 34,Sat,Home,W,3,0,Bournemouth,2.4,0.7,61,52959,Jordan Henderson,4-3-2003,Chris Kavanagh,Match Report,
2018-04-21,12:30,Matchweek 35,Sat,Away,D,2,2,West Brom,1.4,1.4,61,24520,Jordan Henderson,4-3-2003,Stuart Attwell,Match Report,
2018-04-28,12:30,Matchweek 36,Sat,Home,D,0,0,Stoke City,2,0.8,71,53255,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2018-05-06,16:30,Matchweek 37,Sun,Away,L,0,1,Chelsea,0.9,0.5,66,41314,James Milner,4-3-2003,Anthony Taylor,Match Report,
2018-05-13,15:00,Matchweek 38,Sun,Home,W,4,0,Brighton,3.4,0.1,71,50752,Jordan Henderson,4-4-1-1,Kevin Friend,Match Report,