Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,3085,3000,85,74,8,322,131,0,0,0,0,0,2330,265,490,345,2476,152,11,6,2791,1,43,13,10,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,35.3,3147,2495,652,86,8,413,227,183,162,43,74,8,1472,567,1108,313,2330,83,404,7,2254,11,84,35,111,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,32.6,1628,1600,28,15,4,276,31,6,0,0,0,0,1298,196,134,171,1359,53,13,7,1477,1,9,17,27,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,34.6,2928,2536,392,49,5,319,85,130,43,7,26,1,1834,521,573,2332,186,93,300,2,2370,4,44,36,82,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,33.2,1171,1141,30,3,8,306,8,16,0,0,0,0,874,205,92,152,927,55,11,13,931,3,7,51,55,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,32,1004,952,52,4,13,240,19,35,28,3,15,3,712,159,133,792,166,18,8,11,746,3,15,27,47,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,30.5,1162,1141,21,8,10,244,26,52,0,0,0,0,766,243,153,235,839,39,10,15,933,3,17,29,50,Matches
Alisson\7a2e46a8,br BRA,GK,26,28.3,925,701,224,54,1,131,28,0,0,0,0,0,590,85,250,65,688,2,0,132,794,2,19,3,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,24.9,1879,1834,45,16,14,275,73,48,1,0,0,0,1224,270,385,209,1565,68,13,4,1582,4,20,15,40,Matches
Fabinho\7f3b388c,br BRA,MF,25,23.1,1528,1505,23,16,5,242,38,6,0,0,0,0,1051,211,266,105,1318,68,4,2,1334,2,18,9,15,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,22.3,1960,1910,50,35,1,211,63,5,0,0,0,0,1469,187,304,128,1669,89,15,1,1743,2,22,5,11,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,16.5,748,733,15,1,4,136,32,29,0,0,0,0,464,124,160,87,609,27,6,7,592,3,22,17,23,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,10.4,773,707,66,12,4,114,35,14,8,3,2,1,522,135,116,78,633,15,34,3,664,3,13,10,15,Matches
Adrián\f76e6b4e,es ESP,GK,32,9.7,314,219,95,27,0,40,12,0,0,0,0,0,150,24,140,31,217,1,0,49,227,0,9,0,1,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,9.1,684,676,8,2,5,114,9,7,2,0,0,0,514,112,58,86,567,18,3,2,608,1,8,10,15,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,8.6,603,587,16,15,1,64,16,0,0,0,0,0,411,80,112,114,433,41,1,1,530,0,12,3,5,Matches
Joël Matip\b217ef29,cm CMR,DF,27,7.8,514,498,16,12,0,74,13,0,0,0,0,0,384,62,68,56,417,23,4,1,448,0,14,7,3,Matches
Divock Origi\43a166b4,be BEL,FW,24,8,219,217,2,0,0,66,13,16,0,0,0,0,139,37,43,29,165,10,1,3,158,1,6,4,8,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,4.2,270,268,2,1,0,48,4,5,0,0,0,0,204,38,28,77,170,13,1,3,229,2,0,4,9,Matches
Neco Williams\dd323728,wls WAL,DF,18,2.6,205,166,39,4,1,18,10,7,3,1,2,0,115,32,58,8,155,9,32,0,165,0,6,2,9,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,2.8,111,110,1,1,0,26,2,4,0,0,0,0,89,9,13,20,84,1,0,1,98,0,1,0,1,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,2.1,109,96,13,2,0,21,3,4,6,3,1,0,62,26,21,82,17,2,5,0,90,2,0,4,2,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,1.4,128,128,0,0,0,23,3,0,0,0,0,0,103,13,12,16,105,5,0,0,111,0,1,2,2,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,0.1,15,11,4,0,0,0,1,2,3,0,2,0,8,3,4,13,1,0,1,0,12,0,0,0,0,Matches
Squad Total,,,26.6,38,25110,23231,1879,437,92,3723,882,569,256,60,122,13,16785,3604,4721,5544,17096,885,877,270,20887,48,390,303,541,
Opponent Total,,,26.3,38,14771,13024,1747,375,44,2905,474,382,160,72,36,19,8120,2486,4165,3982,8569,776,739,242,10739,135,378,238,407,